WELFARECODE,MEDICINENAME,件数
2559808M1020,強力ポステリザン軟膏２ｇ,2291
2649735S1028,ロキソニンパップ100mg(７枚/袋)(院外専用),1009
2139009F1034,◇ﾄﾗｾﾐﾄﾞ錠4mg,33
1319739Q1177,◇ﾗﾀﾉﾌﾟﾛｽﾄ点眼液0.005%,23
1319720Q3191,◇ﾋｱﾙﾛﾝ酸Na点眼液0.1%,20
2649729S3ZZZ,【般】ケトプロフェンテープ40mg(7枚/袋),295
1149032F2023,◇ﾊｲﾍﾟﾝ錠200mg,17
3949101F1073,◇ｳﾗﾘｯﾄ配合錠,40
1319739Q1150,◇ﾗﾀﾉﾌﾟﾛｽﾄ点眼液0.005%,216
1319819Q2026,◇ｺｿﾌﾟﾄﾐﾆ配合点眼液,11
1319720Q5038,◇ﾋｱﾚｲﾝﾐﾆ点眼液0.3%,3
1319742Q2027,◇ｸﾗﾋﾞｯﾄ点眼液1.5%,62
1319760Q1029,◇ﾑｺｽﾀ点眼液UD2%,67
1190023F2020,☆ベルソムラ錠２０ｍｇ,1822
3214001F1047,Ｌ－アスパラギン酸Ｃａ錠２００mg｢サワイ｣,4481
2699710R1028,フィブラストスプレー２５０μｇ,521
1319754Q1023,トラバタンズ点眼液0.004%･2.5mL(院外専用),370
1319720Q5038,【1回使い切り】ﾋｱﾚｲﾝﾐﾆ点眼液0.3%･0.4mL,442
3949101F1111,【限】ポトレンド配合錠,12
2329027F1037,ポラプレジンクＯＤ錠７５ｍｇ「サワイ」,2673
1319821Q1027,アゾルガ配合懸濁性点眼液５ｍＬ【AD】,1367
6241008F2020,シプロキサン錠２００ｍｇ,1280
4490027F2029,クラリチンレディタブ錠１０ｍｇ(院外専用),184
2171017F2024,シグマート錠５ｍｇ（院外専用）,422
3112001F3066,カルフィーナ錠１．０μｇ,417
2319001M1353,ロペラミド塩酸塩カプセル１ｍｇ「サワイ」,952
4291015F1026,☆フェマーラ錠２．５ｍｇ【AD】,1635
4291051F1022,☆イブランス錠２５ｍｇ（院外専用）,375
1179012F1118,(向)リーゼ錠５ｍｇ（院外専用）,193
4291012F1022,☆アロマシン錠２５ｍｇ【AD】,622
4291023F1020,☆アフィニトール錠５ｍｇ,414
4490027F2029,◇ｸﾗﾘﾁﾝﾚﾃﾞｨﾀﾌﾞ錠10mg,21
2649731M1080,◇ｽﾐﾙｽﾁｯｸ3%,14
2399801E1037,サリベートエアゾール（５０ｇ／本）,321
,チャンバーセット（ＣＰ－１１ＦＣＹＢ）,118
,注射器（ディスポ）テルモ１０ｃｃ,110
,注射針２２Ｇ,216
3229402A1023,アセレンド注(100μg/2mL)(院外/退院),452
3999005F1059,☆イムラン錠５０ｍｇ,1759
2331007M1029,リパクレオンカプセル150mg,5136
2399006F1331,セレキノン錠１００ｍｇ(院外専用),232
3259524G1038,フルカリック２号輸液1003mL(院外/退院),51
3334402G4110,☆ﾍﾊﾟﾘﾝNaﾛｯｸ用100単位/mlｼﾘﾝｼﾞ(10ml)(院外,134
3259524G3022,フルカリック２号輸液1504.5mL（院外専用）,37
3259114S1026,エンシュア・Ｈ(ﾊﾞﾅﾅ)２５０ｍＬ(院外専用),173
3259114S1026,エンシュア・Ｈ(黒糖)２５０ｍＬ(院外専用),75
2329028F1058,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙNa錠10mg,21
2123016F1140,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠2.5mg,119
1124023F1118,◇ｱﾙﾌﾟﾗｿﾞﾗﾑ錠0.4mg,34
1149023F1036,◇ﾉｲﾛﾄﾛﾋﾟﾝ錠4単位,129
2331007M1029,◇ﾘﾊﾟｸﾚｵﾝｶﾌﾟｾﾙ150mg,48
2399006F1536,◇ﾄﾘﾒﾌﾞﾁﾝﾏﾚｲﾝ酸塩錠100mg,25
3160002M2117,◇ﾒﾅﾃﾄﾚﾉﾝｶﾌﾟｾﾙ15mg,1
3179106F1039,◇ﾉｲﾛﾋﾞﾀﾝ配合錠,90
2171700S1150,◇硝酸ｲｿｿﾙﾋﾞﾄﾞﾃｰﾌﾟ40mg,17
1124023F1100,(向)アルプラゾラム錠０．４ｍｇ「トーワ」,1349
3334402G4110,ﾍﾊﾟﾘﾝNaﾛｯｸ用100単位/mlｼﾘﾝｼﾞ(10ml)(院外,185
1124023F1100,◇ｱﾙﾌﾟﾗｿﾞﾗﾑ錠0.4mg,62
2399006F1528,◇ﾄﾘﾒﾌﾞﾁﾝﾏﾚｲﾝ酸塩錠100mg,12
3160002M2087,◇ﾒﾅﾃﾄﾚﾉﾝｶﾌﾟｾﾙ15mg,35
1124001F2029,(向)ユーロジン錠２ｍｇ（院外専用）,150
,ﾌｨﾙﾀｰｾｯﾄ（ＣＰＦ－３０１ＦＣＺＹＩ）,61
2329028F1201,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙﾅﾄﾘｳﾑ錠10mg,5
2123016F1182,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠2.5mg,11
1190016F1032,◇ﾗﾒﾙﾃｵﾝ錠8mg,70
3259120S1021,イノラス配合経腸用液(りんご)(187.5mL/ﾊﾟｳﾁ),722
3259120S1021,イノラス配合経腸用液(ｺｰﾋｰ)(187.5mL/ﾊﾟｳﾁ),1096
3229501G1089,ﾐﾈﾘｯｸ-5配合点滴静注ｼﾘﾝｼﾞ2mL(院外/退院),280
3259525G1032,フルカリック３号輸液1103mL(院外/退院),103
3334402G4071,ﾍﾊﾟﾘﾝNaﾛｯｸ用100単位/mLｼﾘﾝｼﾞ(10mL)(退院,25
2123016F2235,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠5mg,4
1124003F2222,(向)ベンザリン錠５ｍｇ,589
6179001F1023,ブイフェンド錠５０ｍｇ,1172
2590013F2031,ステーブラＯＤ錠0.1mg(院外専用),38
5200117D1030,ﾂﾑﾗ人参養栄湯(3.0g/包)TJ-108(院外),349
1311702Q1036,ネオシネジン点眼液５％,6
5200117D1030,◇ﾂﾑﾗ人参養栄湯ｴｷｽ顆粒ｲ),56
2649805M1026,ユベラ軟膏（院外専用）,306
3399006F2022,☆アンプラーグ錠１００ｍｇ,439
3999039M1022,オフェブカプセル１００ｍｇ,546
3999039M2029,オフェブカプセル１５０ｍｇ,433
1149037F2026,セレコックス錠２００ｍｇ（院外専用）,843
3399006F2022,アンプラーグ錠１００ｍｇ,716
3999005F1059,イムラン錠５０ｍｇ,2781
3399005F1021,ドルナー錠２０μｇ,688
6250019F1020,バルトレックス錠５００ｍｇ（院外専用）,156
2171022F6020,◇ｱﾑﾛｼﾞﾝOD錠10mg,28
2189019M1020,◇ﾛﾄﾘｶﾞ粒状ｶﾌﾟｾﾙ2g,55
3112001M1046,◇ｱﾙﾌｧﾛｰﾙｶﾌﾟｾﾙ0.25μg,84
4490033F2024,◇ﾋﾞﾗﾉｱOD錠20mg,56
1149037F2026,◇ｾﾚｺｯｸｽ錠200mg,39
3999039M2029,◇ｵﾌｪﾌﾞｶﾌﾟｾﾙ150mg,11
6152005F1052,◇ﾐﾉﾏｲｼﾝ錠50mg,21
2190005F2051,◇ｾﾛｸﾗｰﾙ錠20mg,5
3150002F1239,◇ﾕﾍﾞﾗ錠50mg,40
3399006F2022,◇ｱﾝﾌﾟﾗｰｸﾞ錠100mg,14
6250019F1020,◇ﾊﾞﾙﾄﾚｯｸｽ錠500,11
1319720Q3116,◇ﾋｱﾙﾛﾝ酸Na点眼液0.1%,278
2699801V1114,◇ｲｿｼﾞﾝｼｭｶﾞｰﾊﾟｽﾀ軟膏,26
2646717M1096,◇ﾛｺｲﾄﾞ軟膏0.1%,28
7121703X1178,◇白色ﾜｾﾘﾝ,36
3339003F4023,イグザレルトＯＤ錠１５ｍｇ,1783
3112001F1055,◇ﾜﾝｱﾙﾌｧ錠0.25μg,16
2633705N1031,◇ｹﾞｰﾍﾞﾝｸﾘｰﾑ1%,14
2699704M1025,カデックス軟膏０．９％・４０ｇ,376
4490026F2300,◇ﾓﾝﾃﾙｶｽﾄ錠10mg,4
3214001F1047,◇L-ｱｽﾊﾟﾗｷﾞﾝ酸Ca錠200mg,57
1319807M1025,ﾈｵﾒﾄﾞﾛｰﾙEE軟膏3g眼・耳鼻科用(院外専用),152
2590003F1023,セルニルトン錠,322
2183006F4020,リピディル錠８０ｍｇ,1010
2260702F1063,ＡＺ含嗽用配合細粒「ＮＰ」（２ｇ／包）,2736
2239001R1110,ムコサールドライシロップ（成分量で入力）,1701
2149040F3037,◇ｶﾝﾃﾞｻﾙﾀﾝ錠8mg,177
1179025F1026,☆デパス錠０．５ｍｇ（院外専用）,526
2399014F2022,イリボー錠５μｇ（院外専用）,186
2149032F1021,◇ｱｰﾁｽﾄ錠10mg,86
2329029M2023,◇ﾈｷｼｳﾑｶﾌﾟｾﾙ20mg,457
3961007F2022,◇ｸﾞﾘﾐｸﾛﾝHA錠20mg,25
3969010F2030,◇ｼﾞｬﾇﾋﾞｱ錠50mg,195
2171021F2020,◇ｺﾆｰﾙ錠4,48
2149045F2025,◇ｾﾗﾗ錠50mg,87
2590008F2022,◇ﾊﾙﾅｰﾙD錠0.2mg,107
2344009F1086,◇酸化ﾏｸﾞﾈｼｳﾑ錠250mg,10
2399011F1022,コロネル錠５００ｍｇ,834
3399004M1409,◇ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙｶﾌﾟｾﾙ300mg,1
5900003F1021,◇ﾖｸｲﾆﾝｴｷｽ錠,68
1149009M1035,◇ﾊﾟﾗﾐﾁﾞﾝｶﾌﾟｾﾙ300mg,4
2499011M1027,◇ｱﾎﾞﾙﾌﾞｶﾌﾟｾﾙ0.5mg,26
2399011F1022,◇ｺﾛﾈﾙ錠500mg,29
3399004M1336,◇ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙｶﾌﾟｾﾙ300mg,8
2189021M1028,エパデールＥＭカプセル２ｇ,427
1315705M1037,プレドニン眼軟膏５ｇ(院外専用),226
1315700M2057,デキサメタゾン眼軟膏０．１％｢ﾆｯﾄｰ｣･3.5g,125
2499011F1028,デュタステリド錠０．５ｍｇＡＶ｢DSEP｣,164
2399011F1030,ポリフル錠５００ｍｇ(院外専用),122
5900003B1020,【限】ｺﾀﾛｰヨクイニンエキス散(2ｇ/包)P-72,50
1149009M1035,【限】パラミヂンカプセル３００ｍｇ,2
2190029F3029,ホスレノールＯＤ錠２５０ｍｇ,1170
2190024F1040,沈降炭酸カルシウム錠５００ｍｇ「三和」,1732
2149032F1137,◇ｶﾙﾍﾞｼﾞﾛｰﾙ錠10mg,7
2149042F1130,◇ﾃﾙﾐｻﾙﾀﾝ錠20mg,1
2329023F1101,◇ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠15mg,55
2362001F2211,◇ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠100mg,39
2189101F1020,アトーゼット配合錠ＬＤ(院外専用)(EZ10/AT10),135
2149046F1074,◇ｲﾙﾍﾞｻﾙﾀﾝ錠50mg,18
2189101F1020,◇ｱﾄｰｾﾞｯﾄ配合錠LD,43
1190023F2020,◇ﾍﾞﾙｿﾑﾗ錠20mg,38
1319739Q1037,◇ｷｻﾗﾀﾝ点眼液0.005%,120
1319702Q2111,◇ﾁﾓﾌﾟﾄｰﾙ点眼液0.5%,16
1190023F2020,ベルソムラ錠２０ｍｇ,1612
2362001F2173,◇ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠100mg,401
2329029M2066,◇ｴｿﾒﾌﾟﾗｿﾞｰﾙｶﾌﾟｾﾙ20mg,28
2149046F1040,◇ｲﾙﾍﾞｻﾙﾀﾝ錠50mg,1
2329027F1045,◇ﾎﾟﾗﾌﾟﾚｼﾞﾝｸOD錠75mg,12
3222013F1157,◇ｸｴﾝ酸第一鉄Na錠50mg,50
2456003F2030,メドロール錠４ｍｇ【AD】,1933
4229101F2057,☆エスワンタイホウ配合ＯＤ錠Ｔ２５,1192
5200069D1048,ﾂﾑﾗ十全大補湯(2.5g/包)TJ-48,648
2316017F2023,ビオスリー配合ＯＤ錠,161
1339005F2128,◇ﾒﾘｽﾛﾝ錠12mg,14
2149046F1023,◇ｱﾊﾞﾌﾟﾛ錠50mg,10
4291031F2021,☆イクスタンジ錠８０ｍｇ（院外専用）,524
2171006N1156,◇ｼﾞﾙﾁｱｾﾞﾑ塩酸塩徐放ｶﾌﾟｾﾙ100mg,35
3949002F2220,ベンズブロマロン錠５０ｍｇ「杏林」,619
6290100F2115,◇ﾊﾞｸﾀ配合錠,124
2189011F1041,◇ｼﾝﾊﾞｽﾀﾁﾝ錠5mg,32
2590010F2038,◇ｼﾛﾄﾞｼﾝ錠4mg,47
3961008F1225,◇ｸﾞﾘﾒﾋﾟﾘﾄﾞ錠1mg,98
3999004S1036,◇ｻﾝﾃﾞｨﾐｭﾝ内用液10%,3
3999004S2032,☆ネオーラル内用液１０％・５０ｍｌ,174
3999004S2032,◇ﾈｵｰﾗﾙ内用液10%,9
8219701S6027,フェントステープ０．５ｍｇ【AD】,193
2454002F1183,デカドロン錠０．５ｍｇ【AD】,6844
1190012F3037,ドネペジル塩酸塩ＯＤ錠３ｍｇ「ＤＳＰ」,24
2190021F1348,サアミオン錠５ｍｇ（院外専用）,29
2149039F2038,◇ﾆｭｰﾛﾀﾝ錠50mg,56
2431004F3032,◇ﾁﾗｰﾁﾞﾝS錠100μg,230
2171010F2553,ペルサンチン錠２５ｍｇ,544
2649734Q1069,ボルタレンゲル１％・５０ｇ（院外専用）,305
2189015F1023,◇ﾘﾋﾟﾄｰﾙ錠5mg,99
2190006M1156,◇ﾕﾍﾞﾗNｶﾌﾟｾﾙ100mg,237
1249009F1406,◇ｴﾍﾟﾘｿﾞﾝ塩酸塩錠50mg,47
5200089D1045,◇ﾂﾑﾗ疎経活血湯ｴｷｽ顆粒ｲ),16
1190012F3029,アリセプトＤ錠３ｍｇ（院外専用）,211
3219100F1020,◇ﾃﾞﾉﾀｽﾁｭｱﾌﾞﾙ配合錠,158
3219100F1020,デノタスチュアブル配合錠,9738
1190012F4025,◇ｱﾘｾﾌﾟﾄD錠5mg,42
2492700R1022,バクスミー点鼻粉末剤３ｍｇ（院外専用）,42
4490017M1036,オノンカプセル１１２．５ｍｇ（院外専用）,141
1179025F1182,◇ｴﾁｿﾞﾗﾑ錠0.5mg,170
1179060F1028,☆トリンテリックス錠１０ｍｇ,172
1179025F3037,◇ｴﾁｿﾞﾗﾑ錠0.25mg,11
4411001F1040,レスタミンコーワ錠１０ｍｇ,5085
2391004F1024,ナゼアＯＤ錠０．１ｍｇ,2501
2321001F1042,◇ｷｬﾍﾞｼﾞﾝUｺｰﾜ錠25mg,3
4291052F2023,☆リムパーザ錠１５０ｍｇ（院外専用）,930
4291052F1027,☆リムパーザ錠１００ｍｇ（院外専用）,552
2149010F1025,☆セロケン錠２０ｍｇ【AD】,297
2590009F6022,フリバスＯＤ錠２５ｍｇ（院外専用）,14
4490022F4029,タリオンＯＤ錠１０ｍｇ（院外専用）,374
2144002F1296,◇ｴﾅﾗﾌﾟﾘﾙﾏﾚｲﾝ酸塩錠2.5mg,11
2189017F1251,◇ﾛｽﾊﾞｽﾀﾁﾝ錠2.5mg,8
2590009F6030,◇ﾅﾌﾄﾋﾟｼﾞﾙOD錠25mg,2
2149032F2028,☆アーチスト錠２０ｍｇ（院外専用）【AD】,135
2325003F3ZZZ,【般】ファモチジン口腔内崩壊錠10mg,375
2129005F1129,☆リスモダンＲ錠１５０ｍｇ,113
2113004B1033,☆ジゴシン散（成分量で入力）(院外専用),31
1124009F1223,◇ﾚﾝﾄﾞﾙﾐﾝ錠0.25mg,93
4490025F2151,◇ｵﾛﾊﾟﾀｼﾞﾝ塩酸塩錠5mg,5
2491001F6060,◇ｶﾙﾅｸﾘﾝ錠50,34
2669701N2067,◇ｹﾗﾁﾅﾐﾝｺｰﾜｸﾘｰﾑ20%,11
2646700Q1050,◇ﾈﾘｿﾞﾅｿﾘｭｰｼｮﾝ0.1%,1
2639700N1032,◇ｱｸｱﾁﾑｸﾘｰﾑ1%,23
2646703N1073,◇ﾘﾝﾃﾞﾛﾝ-DPｸﾘｰﾑ,3
1124026F1022,☆グランダキシン錠５０ｍｇ（院外専用）,38
2491001F5056,カルナクリン錠２５単位,577
4490100F1021,ディレグラ配合錠【AD】,854
2329020F4026,ガスロンＮ・ＯＤ錠４ｍｇ(院外専用),182
2129003M2028,☆メキシチールカプセル１００ｍｇ,615
2171022F6039,◇ﾉﾙﾊﾞｽｸOD錠10mg,11
2329020F4026,◇ｶﾞｽﾛﾝN･OD錠4mg,25
3943001F1543,◇ｱﾛﾌﾟﾘﾉｰﾙ錠100mg,66
2129003M2028,メキシチールカプセル１００ｍｇ,740
2149010F1025,セロケン錠２０ｍｇ【AD】,312
2329023F2094,◇ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠30mg,30
3949003F1074,◇ﾌｪﾌﾞｷｿｽﾀｯﾄ錠10mg,17
2149010F1157,◇ﾒﾄﾌﾟﾛﾛｰﾙ酒石酸塩錠20mg,12
5200048C1075,ｸﾗｼｴ五苓散料(3.0g/包)KB-17(院外専用),158
2123016F1190,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠2.5mg,6
2171022F4222,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠5mg,40
2329022H2023,◇ｵﾒﾌﾟﾗｰﾙ錠10,39
2456001F2023,◇ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ錠1mg,123
2590008F2154,◇ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg,10
4490034F1022,ルパフィン錠１０ｍｇ,2570
2171014G5025,◇ｱﾀﾞﾗｰﾄCR錠40mg,36
2329028F3026,◇ﾊﾟﾘｴｯﾄ錠5mg,7
2649735S3020,◇ﾛｷｿﾆﾝﾃｰﾌﾟ100mg,82
1315706Q2102,◇ﾘﾝﾃﾞﾛﾝ点眼･点耳･点鼻液0.1%,70
1319726Q1102,◇ｼﾞｸﾛｰﾄﾞ点眼液0.1%,7
2149700S1027,☆ビソノテープ４ｍｇ【AD】,377
4490014F2234,◇ｴﾋﾟﾅｽﾁﾝ塩酸塩錠20mg,7
2129002M1060,◇ﾘｽﾓﾀﾞﾝｶﾌﾟｾﾙ50mg,4
3136004F2103,◇ﾒｺﾊﾞﾗﾐﾝ錠500,116
1149011F1076,フロベン錠４０ｍｇ（院外専用）,6
2329107D1096,コランチル配合顆粒(１ｇ／包)(院外専用),86
2661701X1020,スピール膏Ｍ（２５平方センチ／枚）,104
2123011F1155,◇ﾃﾉｰﾐﾝ錠25,23
3112001F2060,◇ｱﾙﾌｧｶﾙｼﾄﾞｰﾙ錠0.5μg,214
5200048D1070,◇ﾂﾑﾗ五苓散ｴｷｽ顆粒ｲ),69
3999049F2023,ダーブロック錠２ｍｇ【AD】,473
1319742Q1039,クラビット点眼液０．５％・５ｍｌ（院外）,263
3112004M1198,◇ｶﾙｼﾄﾘｵｰﾙｶﾌﾟｾﾙ0.25μg,22
2339265F1027,◇ﾏｯｸﾀｰｾﾞ配合錠,21
3112004M1180,◇ｶﾙｼﾄﾘｵｰﾙｶﾌﾟｾﾙ0.25μg,7
1190017F1045,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝOD錠25mg,22
2339163D1037,◇ﾍﾞﾘﾁｰﾑ配合顆粒,92
2399010F2032,◇ﾓｻﾌﾟﾘﾄﾞｸｴﾝ酸塩錠5mg,55
3112004M1023,ロカルトロールカプセル０．２５μｇ,1111
2590010F3026,ユリーフＯＤ錠２ｍｇ（院外専用）,30
2329023M1020,タケプロンカプセル１５ｍｇ（院外専用）,104
3949002F2114,ユリノーム錠５０ｍｇ（院外専用）,266
3999014M1022,☆プログラフカプセル１ｍｇ,3788
2149040F1212,◇ｶﾝﾃﾞｻﾙﾀﾝ錠2mg,1
2329023F1098,◇ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠15mg,233
2499011M1043,◇ﾃﾞｭﾀｽﾃﾘﾄﾞｶﾌﾟｾﾙ0.5mgAV,26
3949002F2203,◇ﾍﾞﾝｽﾞﾌﾞﾛﾏﾛﾝ錠50mg,3
2329020F2112,◇ｲﾙｿｸﾞﾗｼﾞﾝﾏﾚｲﾝ酸塩錠4mg,2
3999014M1022,プログラフカプセル１ｍｇ,7115
2149040F1034,◇ｶﾝﾃﾞｻﾙﾀﾝ錠2mg,58
2499011M1035,◇ﾃﾞｭﾀｽﾃﾘﾄﾞｶﾌﾟｾﾙ0.5mgAV,132
2129003M2230,◇ﾒｷｼﾚﾁﾝ塩酸塩ｶﾌﾟｾﾙ100mg,4
2171022F2300,◇ｱﾑﾛｼﾞﾋﾟﾝ錠5mg,17
2129003M2192,◇ﾒｷｼﾚﾁﾝ塩酸塩ｶﾌﾟｾﾙ100mg,23
3112006M1030,◇ｴﾙﾃﾞｶﾙｼﾄｰﾙｶﾌﾟｾﾙ0.5μg,131
2329028F1066,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙNa錠10mg,7
2171022F2203,◇ｱﾑﾛｼﾞﾋﾟﾝ錠5mg,5
2171022F1045,アムロジン錠２．５ｍｇ（院外専用）,312
3179106F1039,ノイロビタン配合錠（院外専用）,75
1319717Q1308,インタール点眼液２％・５ｍｌ（院外専用）,34
2171022F1045,◇ｱﾑﾛｼﾞﾝ錠2.5mg,57
2590009F4020,◇ﾌﾘﾊﾞｽOD錠50mg,20
2339149M1045,◇ﾀﾌﾏｯｸE配合ｶﾌﾟｾﾙ,117
2344009F2082,◇酸化ﾏｸﾞﾈｼｳﾑ錠330mg,38
3327002M1303,トランサミンカプセル２５０ｍｇ,1849
2149049F5022,ミネブロＯＤ錠２．５ｍｇ【AD】,772
2590009F4020,フリバスＯＤ錠５０ｍｇ（院外専用）,107
1179041G1020,パキシルＣＲ錠１２．５ｍｇ,361
2149048F3025,◇ｱｼﾞﾙﾊﾞ錠10mg,56
2149049F5022,◇ﾐﾈﾌﾞﾛOD錠2.5mg,13
3399009F1020,◇ｴﾌｨｴﾝﾄ錠3.75mg,82
2590009F6227,ナフトピジルＯＤ錠２５ｍｇ「トーワ」,191
1169005F1200,パーロデル錠２．５ｍｇ,81
3969015F2025,☆テネリア錠４０ｍｇ（院外専用）,32
3969015F2025,◇ﾃﾈﾘｱ錠40mg,13
1179052M1022,☆サインバルタカプセル２０ｍｇ,1999
1139015F2023,☆ビムパット錠１００ｍｇ,757
2649732S1130,◇ｱﾄﾞﾌｨｰﾄﾞﾊﾟｯﾌﾟ40mg,4
3969013F1038,◇ﾚﾊﾟｸﾞﾘﾆﾄﾞ錠0.25mg,84
2171022F1436,◇ｱﾑﾛｼﾞﾋﾟﾝ錠2.5mg,2
2659710N1152,◇ﾗﾐｼｰﾙｸﾘｰﾑ1%,12
2669701N1044,◇ｳﾚﾊﾟｰﾙｸﾘｰﾑ10%,19
2646701M2156,◇ﾘﾝﾃﾞﾛﾝ-V軟膏0.12%,22
1139015F2023,ビムパット錠１００ｍｇ,1806
2171022F1231,◇ｱﾑﾛｼﾞﾋﾟﾝ錠2.5mg,6
2646723M1172,◇ﾀﾞｲｱｺｰﾄ軟膏0.05%,12
3339950M1196,◇ﾍﾊﾟﾘﾝ類似物質油性ｸﾘｰﾑ0.3%,11
2652701M1025,◇5%ｻﾘﾁﾙ酸ﾜｾﾘﾝ軟膏東豊,9
2655708N1288,◇ﾋﾞﾎﾅｿﾞｰﾙｸﾘｰﾑ1%,4
2171022F1320,◇ｱﾑﾛｼﾞﾋﾟﾝ錠2.5mg,5
2139008F2052,◇ｱｿﾞｾﾐﾄﾞ錠30mg,57
2149048F5028,◇ｱｼﾞﾙｻﾙﾀﾝOD錠20mg,8
1179052M1022,サインバルタカプセル２０ｍｇ（院外専用）,394
5200131D1065,◇ﾂﾑﾗ補中益気湯ｴｷｽ顆粒ｲ),59
1179052M1030,◇ﾃﾞｭﾛｷｾﾁﾝｶﾌﾟｾﾙ20mg,77
3131002F1314,◇ﾘﾎﾞﾌﾗﾋﾞﾝ酪酸ｴｽﾃﾙ錠20mg,21
3929007F1029,◇ﾉﾍﾞﾙｼﾞﾝ錠25mg,50
1179052F3026,デュロキセチンＯＤ錠２０ｍｇ「ニプロ」,328
2190041F3020,エンレスト錠２００ｍｇ,359
2492415G1031,☆ノボラピッド注フレックスペン(300単位/3mL)【AD】,232
2149110F1074,◇ﾛｻﾙﾋﾄﾞ配合錠LD,17
2190103F1020,◇ｶﾃﾞｭｴｯﾄ配合錠3番,14
1190026F2024,◇ﾀﾘｰｼﾞｪ錠5mg,149
2316009C1026,◇ﾐﾔBM細粒,98
1179038F1040,☆リスペリドン錠１ｍｇ「ＭＥＥＫ」,344
2233002R2061,カルボシステインＤＳ｢ﾄｰﾜ｣(成分量で入力),3113
2190033F1022,リオナ錠２５０ｍｇ,2123
2649729S3092,◇ｹﾄﾌﾟﾛﾌｪﾝﾃｰﾌﾟ40mg,38
1179043F2039,ルーラン錠８ｍｇ,244
7290003S1044,トレーランＧ液７５ｇ,192
2499011F1028,◇ﾃﾞｭﾀｽﾃﾘﾄﾞ錠0.5mgAV,26
3339950N1086,◇ﾍﾊﾟﾘﾝ類似物質ｸﾘｰﾑ0.3%,88
1319706Q3043,◇ﾋﾟﾚﾉｷｼﾝ懸濁性点眼液0.005%,349
2149032F4055,◇ｶﾙﾍﾞｼﾞﾛｰﾙ錠2.5mg,25
3943001F1322,◇ｱﾛﾌﾟﾘﾉｰﾙ錠100mg,219
2149044F5089,◇ｵﾙﾒｻﾙﾀﾝOD錠10mg,5
2171022F4206,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠5mg,39
2171014G2301,◇ﾆﾌｪｼﾞﾋﾟﾝL錠20mg,2
2344003F1038,◇ﾐﾙﾏｸﾞ錠350mg,13
2399707D1030,◇ｱﾌﾀｯﾁ口腔用貼付剤25μG,11
1329708Q1038,リボスチン点鼻液0.025mg112噴霧用,74
2149037F2055,◇ｼﾙﾆｼﾞﾋﾟﾝ錠10mg,92
3969007F1032,◇ﾋﾟｵｸﾞﾘﾀｿﾞﾝ錠15mg,2
3962002F1080,◇ﾒﾄﾎﾙﾐﾝ塩酸塩錠250mg,25
3969004F3082,◇ﾎﾞｸﾞﾘﾎﾞｰｽOD錠0.2mg,43
2149044F8029,◇ｵﾙﾒﾃｯｸOD錠5mg,10
4291015F1140,◇ﾚﾄﾛｿﾞｰﾙ錠2.5mg,1
3339001M2020,プラザキサカプセル１１０ｍｇ,347
2119003F2596,◇ﾕﾋﾞﾃﾞｶﾚﾉﾝ錠10mg,14
3339001M2020,◇ﾌﾟﾗｻﾞｷｻｶﾌﾟｾﾙ110mg,21
3999014N3020,☆高用量グラセプターカプセル５ｍｇ,246
3999017M1026,☆セルセプトカプセル２５０ｍｇ,4800
3999022F2024,☆サーティカン錠０．５ｍｇ,1875
2590100X2046,エビプロスタット配合錠ＤＢ,216
3999014N2024,☆グラセプターカプセル１ｍｇ,1283
2492414G9020,☆ヒューマログ注ミリオペンHD(300単位/3mL)【AD】,194
1319720Y2020,◇ﾋｱﾚｲﾝ点眼液0.3%,55
2647709N1060,◇ﾘﾝﾃﾞﾛﾝ-VGｸﾘｰﾑ0.12%,12
3131001F2154,◇ﾌﾗﾋﾞﾀﾝ錠10mg,2
3999014N2024,グラセプターカプセル１ｍｇ,2003
3999017M1026,セルセプトカプセル２５０ｍｇ,7391
3999014D2029,プログラフ顆粒１ｍｇ,1256
3999017B1025,"(院内用)ｾﾙｾﾌﾟﾄ懸濁用散(溶解後200mg/mL,175mL/本)",181
3999014D1022,プログラフ顆粒０．２ｍｇ,3847
